X,Y,P,W
0.6394267984578837,0.881835881347756,3,9
0.025010755222666936,0.49981145345181177,7,4
0.27502931836911926,0.3390009279866658,4,9
0.22321073814882275,0.25469105063963837,4,3
0.7364712141640124,0.43633419163926224,3,4
0.6766994874229113,0.07697444101196915,1,3
0.8921795677048454,0.7044637043971942,7,1
0.08693883262941615,0.027621248671710896,7,9
0.4219218196852704,0.831173567334237,3,9
0.029797219438070344,0.526968741861522,1,9
0.21863797480360336,0.14716257784573894,8,9
0.5053552881033624,0.18092767504496032,9,4
0.026535969683863625,0.2100578908645614,4,9
0.1988376506866485,0.4024412017284271,7,2
0.6498844377795232,0.8372933501767956,2,5
0.5449414806032167,0.455441666607877,7,7
0.2204406220406967,0.20624204859333017,6,8
0.5892656838759087,0.05963630010311716,8,4
0.8094304566778266,0.1760637177187293,8,2
0.006498759678061017,0.9436929422875117,8,7
0.8058192518328079,0.1472250408094028,9,8
0.6981393949882269,0.10328744431150583,4,3
0.3402505165179919,0.7615767275915388,8,1
0.15547949981178155,0.8359166120349507,9,4
0.9572130722067812,0.8301322934850434,2,8
0.33659454511262676,0.6512488267347755,8,8
0.09274584338014791,0.4900957526708123,1,9
0.09671637683346401,0.6067472854308188,2,4
0.8474943663474598,0.9687120057032987,8,7
0.6037260313668911,0.10660795437495696,3,7
0.8071282732743802,0.16438167584841068,5,9
0.7297317866938179,0.779437812376976,1,4
0.5362280914547007,0.15761462313523944,5,1
0.9731157639793706,0.8830408792435774,5,2
0.3785343772083535,0.3719489135892692,6,4
0.552040631273227,0.2889501174405579,8,4
0.8294046642529949,0.8371497135794698,2,4
0.6185197523642461,0.40414831472280976,2,5
0.8617069003107772,0.5534589605978798,9,1
0.577352145256762,0.03238193970022274,8,4
0.7045718362149235,0.1757214213907492,4,8
0.045824383655662215,0.10356535640020437,4,5
0.22789827565154686,0.4248312335860275,1,4
0.28938796360210717,0.5785848424424501,2,3
0.0797919769236275,0.20733034301187192,8,8
0.23279088636103018,0.8564778924470514,4,2
0.10100142940972912,0.17917119106039736,2,9
0.2779736031100921,0.029587975878184736,6,6
0.6356844442644002,0.18018284251449523,2,9
0.36483217897008424,0.4132086708761885,8,3
0.37018096711688264,0.9610811023708205,5,3
0.2095070307714877,0.5686388969027507,3,4
0.26697782204911336,0.5495930464112324,1,9
0.936654587712494,0.09565535930457647,2,5
0.6480353852465935,0.9792983225769061,5,3
0.6091310056669882,0.26614107328939973,8,4
0.171138648198097,0.6786082640105535,6,2
0.7291267979503492,0.26863762360405663,7,5
0.1634024937619284,0.8288252582954776,4,9
0.3794554417576478,0.060550022291413486,4,6
0.9895233506365952,0.5463671835159755,2,3
0.6399997598540929,0.8683515345413451,6,5
0.5569497437746462,0.45057694960052597,9,3
0.6846142509898746,0.8835380739499565,4,5
0.8428519201898096,0.7594732122073083,1,2
0.7759999115462448,0.9215911493900242,9,7
0.22904807196410437,0.8062234297230257,4,4
0.03210024390403776,0.08038506954954638,1,9
0.3154530480590819,0.9238509028704326,5,2
0.26774087597570273,0.44564822232048174,6,9
0.21098284358632646,0.7785323786686186,8,9
0.9429097143350544,0.8881722565176587,8,9
0.8763676264726689,0.6852508858649455,2,5
0.3146778807984779,0.9413622992701689,8,7
0.65543866529488,0.2912052987761983,5,1
0.39563190106066426,0.19828450835256706,1,2
0.9145475897405435,0.1847496510540606,7,7
0.4588518525873988,0.8351307321998328,5,4
0.26488016649805246,0.1835398096874742,5,2
0.24662750769398345,0.9168203419421834,7,9
0.5613681341631508,0.3767351178644007,5,8
0.26274160852293527,0.22387675831326492,6,8
0.5845859902235405,0.11313246088493978,5,1
0.897822883602477,0.808339912001562,5,7
0.39940050514039727,0.15990968468190292,3,8
0.21932075915728333,0.27863705741256284,2,6
0.9975376064951103,0.44360126132690336,4,9
0.5095262936764645,0.9788879174118189,4,6
0.09090941217379389,0.9158797901511715,5,8
0.04711637542473457,0.00532937452145843,4,6
0.10964913035065915,0.2222924005829,7,6
0.62744604170309,0.5628216418065973,9,6
0.7920793643629641,0.7414329379625508,5,4
0.42215996679968404,0.7562320823194686,3,5
0.06352770615195713,0.3250963930793819,5,3
0.38161928650653676,0.060865574749363605,9,3
0.9961213802400968,0.8809764038756046,3,8
0.529114345099137,0.6157822290698258,8,5
0.9710783776136181,0.612748167050061,9,1
0.8607797022344981,0.9866406809541709,6,5
0.011481021942819636,0.32504998973552657,4,9
0.7207218193601946,0.6988808185132082,9,8
0.6817103690265748,0.2189838270705945,3,9
0.5369703304087952,0.6047112734978373,8,3
0.2668251899525428,0.12722055958224332,6,8
0.6409617985798081,0.700714336022762,4,1
0.11155217359587644,0.9913064819433587,2,8
0.434765250669105,0.49325628712909186,9,8
0.45372370632920644,0.5409181405691726,8,2
0.9538159275210801,0.08700663715649626,8,2
0.8758529403781941,0.8948076782568687,2,3
0.26338905075109076,0.11787294463996922,5,5
0.5005861130502983,0.3876166956291248,2,4
0.17865188053013137,0.34806167820257994,6,2
0.9126278393448205,0.04775800033260236,1,5
0.8705185698367669,0.9749402088851041,3,9
0.2984447914486329,0.5632122443400635,5,9
0.6389494948660052,0.4292379622124112,7,2
0.6089702114381723,0.12543864421878137,9,5
0.1528392685496348,0.4304470845947138,3,4
0.7625108000751513,0.4197813008171506,5,7
0.5393790301196257,0.3951328519424919,9,4
0.7786264786305582,0.33112768697785433,2,4
0.5303536721951775,0.17164547334326263,3,5
0.0005718961279435053,0.8630126354560587,8,9
0.3241560570046731,0.5529647666552757,3,1
0.019476742385832302,0.30372239914460264,6,9
0.9290986162646171,0.9772304907844139,8,7
0.8787218778231842,0.5881121046040354,8,1
0.8316655293611794,0.2647749902563443,8,5
0.30751412540266143,0.7489185677960649,6,2
0.05792516649418755,0.5863841278376783,5,7
0.8780095992040405,0.023394923304345894,4,7
0.9469494452979941,0.7227859571618627,3,9
0.08565345206787878,0.5056654949423854,6,6
0.4859904633166138,0.5461315768573363,7,4
0.06921251846838361,0.3013526262049714,2,7
0.7606021652572316,0.0027892173729526792,8,4
0.7658344293069878,0.7481836862501628,2,9
0.1283914644997628,0.9937173080696756,1,5
0.4752823780987313,0.7535373524783795,9,4
0.5498035934949439,0.8464875286149779,4,4
0.2650566289400591,0.02170039839778959,3,8
0.8724330410852574,0.04459485073119618,9,9
0.4231379402008869,0.010229562708044981,1,5
0.21179820544208205,0.7148684108433578,3,2
0.5392960887794583,0.10328273896161266,8,3
0.7299310690899762,0.9598305288136352,8,9
0.2011510633896959,0.8444423911851446,1,2
0.31171629130089495,0.5950218591575135,1,1
0.9951493566608947,0.16590394963451294,7,7
0.6498780576394535,0.7716472303700024,7,7
0.43810008391450406,0.9041183544054898,4,2
0.5175758410355906,0.7766295062398878,6,2
0.12100419586826572,0.9444964773900291,1,8
0.22469733703155736,0.8821167112428551,3,6
0.33808556214745533,0.23819660857093716,4,3
0.5883087184572333,0.032574432190454194,1,9
0.230114732596577,0.25904806362251853,4,7
0.22021738445155947,0.5724223175188135,3,2
0.07099308600903254,0.03459478605375865,6,7
0.6311029572700989,0.2251705540221387,1,6
0.22894178381115438,0.8987522583967257,4,1
0.905420013006128,0.34849590776203876,8,4
0.8596354002537465,0.1924285087530776,1,5
0.07085734988865344,0.2062899706759539,1,9
0.23800463436899522,0.006560541372034545,7,4
0.6689777782962806,0.16777271214633072,6,3
0.2142368073704386,0.35752088626649714,9,5
0.132311848725025,0.04073700423512028,5,1
0.935514240580671,0.8095874963271583,6,6
0.5710430933252845,0.9058681998549105,1,9
0.47267102631179414,0.8053606549753602,8,4
0.7846194242907534,0.3440524626784548,6,6
0.8074969977666434,0.973425440932658,1,5
0.1904099143618777,0.11352210207426372,9,1
0.09693081422882333,0.8847362378938899,2,6
0.4310511824063775,0.2262420877017869,8,2
0.4235786230199208,0.33764462384343075,5,6
0.467024668036675,0.3285607978419559,1,1
0.7290758494598506,0.717913513503599,6,9
0.6733645472933015,0.897462114940511,8,2
0.9841652113659661,0.22603632401910567,4,3
0.09841787115195888,0.4048201261527483,7,2
0.4026212821022688,0.5042936415460659,6,4
0.33930260539496315,0.5543839991728667,8,4
0.8616725363527911,0.5602621382835287,5,5
0.24865633392028563,0.6951426027966123,9,4
0.1902089084408115,0.20815124827460663,8,8
0.4486135478331319,0.19364104237446933,3,6
0.4218816398344042,0.7757648396909479,1,8
0.27854514466694047,0.19274810608585946,9,1
0.2498064478821005,0.1622012056003752,4,8
0.9232655992760128,0.8498018849364651,7,1
0.44313074505345695,0.39411424785209015,1,5
0.8613491047618306,0.163211379886385,5,5
0.5503253124498481,0.4267547363956473,5,4
0.05058832952488124,0.007242462127251326,2,4
0.9992824684127266,0.5374036358792506,6,4
0.8360275850799519,0.3468196210587817,2,2
0.9689962572847513,0.7466210703582981,1,9
0.9263669830081276,0.5383658185587914,8,5
0.8486957344143055,0.645109476376261,5,6
0.16631111060391401,0.12244884763900632,6,4
0.48564112545071847,0.8316532892429684,1,6
0.21374729919918167,0.7886601408531202,7,1
0.4010402925494526,0.7526585852371367,7,8
0.058635399972178925,0.09046586723396399,4,1
0.3789731189769161,0.8797038240714932,2,5
0.9853088437797259,0.05753220948823545,9,9
0.26520305817215195,0.7800757462780159,1,4
0.7840706019485694,0.751356844592424,6,4
0.4550083673391433,0.3928217985708782,5,4
0.4230074859901629,0.9076735218954516,7,5
0.9573176408596732,0.6117285311307272,6,6
0.9954226894927138,0.6147880713186956,7,1
0.5557683234056182,0.9513788450989263,7,3
0.718408275296326,0.11790439592780866,2,8
0.15479682527406413,0.24272686218456063,9,7
0.2967078254945642,0.4964129731169976,1,1
0.9687093649691588,0.1980879163388457,1,4
0.5791802908162562,0.4811221171899567,1,4
0.5421952013742742,0.3089900060593943,1,6
0.7479755603790641,0.3716952597935139,8,9
0.05716527290748308,0.16005311210130546,8,1
0.5841775944589712,0.906414441875275,1,8
0.5028503829195136,0.3839307813514198,4,4
0.8527198920482854,0.5952975584184673,6,3
0.15743272793948326,0.8669642229989297,4,5
0.9607789032744504,0.6409172348149623,7,2
0.08011146524058688,0.5663572117920925,7,9
0.1858249609807232,0.9016870442639047,6,1
0.5950351064500277,0.341897827551768,6,8
0.6752125536040902,0.985983675694688,5,8
0.2352038950009312,0.09778891195324702,3,9
0.11988661394712419,0.13243908569821317,9,3
0.8902873141294375,0.3955232161755752,6,5
0.24621534778862486,0.07601352559768126,6,1
0.5945191535334412,0.2290800072243404,8,6
0.6193815103321031,0.4816175801484066,8,1
0.4192249153358725,0.2321191334914201,9,8
0.5836722892912247,0.40078227317414306,2,5
0.5227827155319589,0.9441541166868224,4,3
0.9347062577364272,0.8549709018378753,6,8
0.20425919942353643,0.27406947667488857,1,6
0.7161918007894148,0.31850192063409655,1,7
0.23868595261584602,0.6677797947305965,8,5
0.3957858467912545,0.5086959423836716,8,5
0.6716902229599713,0.9178095415133373,3,9
0.2999970797987622,0.251874516778403,3,8
0.31617719627185403,0.10288561804070395,6,8
0.7518644924144021,0.9057062427838669,2,2
0.07254311449315731,0.701219521652198,2,7
0.4582855226185861,0.8903562323809476,9,3
0.9984544408544423,0.4257234418426865,5,5
0.9960964478550944,0.44856887168177617,7,8
0.073260721099633,0.7664525451404499,1,5
0.2131543122670404,0.026449702713709056,3,6
0.26520041475040135,0.5710818960747979,3,2
0.9332593779937091,0.15833919241908756,7,6
0.8808641736864395,0.7418266972851716,4,3
0.8792702424845428,0.533046103286637,2,7
0.36952708873888396,0.26857969399843395,6,7
0.15774683235723197,0.8745599250303847,7,8
0.833744954639807,0.2704821159026356,7,7
0.703539925087371,0.19105186437230803,3,4
0.6116777657259501,0.7051505379817986,7,9
0.9872330636315043,0.06279459859306269,3,9
0.6539763177107326,0.6910832392444588,8,8
0.007823107152157949,0.8600598449398942,1,6
0.8171041351154616,0.3546257317806265,5,4
0.2993787521999779,0.3177950538254316,1,7
0.6633887149660773,0.27090577937575966,2,9
0.9389300039271039,0.7197953445605415,6,2
0.13429111439336772,0.1395740143982135,4,1
0.11542867041910221,0.5818866911519114,4,2
0.10703597770941764,0.10506746396059308,3,7
0.5532236408848159,0.23776278396092632,1,3
0.2723482123148163,0.8413162160617811,9,4
0.6048298270302239,0.517424723888579,8,7
0.7176121871387979,0.4416165984057967,1,7
0.20359731232745293,0.9173253967708326,6,8
0.6342379588850797,0.46099548516952427,7,5
0.2639839016304094,0.1396575589547181,4,5
0.48853185214937656,0.4661377638985561,4,8
0.9053364910793232,0.9738247553024426,9,4
0.8461037132948555,0.37436173627096514,2,6
0.09229846771273342,0.7412489969382008,9,4
0.42357577256372636,0.8599695424086771,5,4
0.27668022397225167,0.15332542338034383,1,1
0.0035456890877823,0.09342431650845984,7,1
0.7711192230196271,0.5452561917622908,6,5
0.6371133773013796,0.7081959830123075,3,1
0.2619552624343482,0.2543723406514715,5,2
0.7412309083479308,0.7978950118676265,9,4
0.5516804211263913,0.32133608088204235,8,6
0.42768691898067934,0.9317708651699171,2,3
0.009669699608339966,0.7912169256021181,9,1
0.07524386007376704,0.5907007618273249,2,5
0.883106393300143,0.735953770039014,3,2
0.9039285715598931,0.9691271707968686,3,9
0.5455902892055223,0.30251111665115327,2,9
0.8345950198860167,0.5427315420143494,7,6
0.582509566489794,0.4926381710279535,6,4
0.14809378556748265,0.43142205843857895,8,5
0.12744551928213876,0.6340473546251938,5,3
0.3082583499301337,0.8295148132337712,6,6
0.89898148874259,0.19827426941426407,4,6
0.7961223048880417,0.20896959960928263,9,5
0.8607025820009028,0.23447815893257917,2,7
0.8989246365264746,0.1701555295952536,1,6
0.21007653833975404,0.589567780391703,2,1
0.24952973922292443,0.5581900211423514,3,2
0.10279362167178563,0.3542901508158073,1,7
0.7801162418714427,0.3579684411928584,4,8
0.8841347014510089,0.6175112198498549,3,3
0.4063773898321168,0.05715979759342338,7,2
0.6206615101507128,0.34029330661348955,7,9
0.15455333833220464,0.7164116467751689,7,4
0.9298810156936744,0.6655121690767714,1,6
0.864605696219964,0.9600350069499834,9,2
0.9762060329309629,0.27493711603678794,8,3
0.8107717199403969,0.8834204116446176,2,2
0.8814162046633244,0.3335435363392517,9,8
0.024786361898188725,0.5034561811805527,1,3
0.7365644717550821,0.7843879711574112,8,2
0.33218546794642867,0.735240888053862,5,4
0.9308158860483255,0.5304048075683819,5,5
0.8022351389371389,0.8295423294515707,2,7
0.8640640283752794,0.5414858696743565,7,2
0.810749316574389,0.9726605249556715,5,9
0.26680570959447203,0.32063901200496203,7,3
0.7873745091354711,0.43724311672599203,6,3
0.10809562640295711,0.7937347104983474,8,2
0.8721667829060897,0.13497568223275824,7,1
0.8585932513377816,0.7885361103110096,1,6
0.22243371754566443,0.017989462164462067,4,4
